product_id,Other,Aldehyde,Amide,Ketone,Ester,Alcohol,Carboxylic Acid,sentiment_score
P449180,1,0,1,1,0,0,0,0.678781361607143
P429661,1,0,0,1,1,1,0,0.679080582524272
P309308,1,0,0,0,0,0,0,0.679272703703704
P422648,1,0,1,1,1,0,0,0.679359615384615
P375853,1,0,0,1,0,0,0,0.679793906093906
P433618,1,0,0,1,0,0,0,0.680026363636364
P416816,1,0,0,1,0,1,0,0.680223655913979
P430809,0,0,1,0,0,0,0,0.680225
P471566,1,0,0,1,1,1,1,0.680575
P443843,1,0,0,1,0,0,0,0.680830995106036
P452004,0,0,0,1,0,0,0,0.681929411764706
P429683,1,0,0,1,0,1,0,0.682070625
P471788,1,0,0,0,1,0,0,0.682117598908595
P383051,1,0,0,1,1,1,0,0.682213636363636
P429526,1,1,0,1,0,0,0,0.682221359223301
P469522,1,0,0,1,0,0,0,0.682256511056511
P466154,1,0,1,1,0,0,0,0.682281707317073
P467757,1,0,0,1,0,1,0,0.68235
P423143,1,0,1,0,0,1,0,0.682622222222222
P379705,1,0,0,1,0,0,0,0.68265
P388200,1,0,0,1,1,0,0,0.683024251497006
P424990,1,0,0,1,0,1,0,0.683053757225434
P501243,1,0,0,1,0,0,0,0.68342390438247
P122900,1,0,0,1,0,0,0,0.684168426344897
P443845,0,0,0,1,0,1,0,0.684264416243655
P475135,1,0,0,1,0,0,0,0.684266666666667
P456571,1,0,0,1,1,1,0,0.684266666666667
P447210,1,0,0,1,1,0,1,0.684341066140178
P482529,1,0,1,1,0,0,0,0.684390740740741
P94421,1,0,0,0,0,0,1,0.684399725463281
P376135,1,0,0,1,0,1,0,0.684448214285714
P480444,1,0,1,1,1,0,0,0.684575342465753
P385632,1,0,1,1,0,0,1,0.684645604395604
P474938,1,1,1,1,0,0,0,0.684754371785452
P439061,1,1,0,0,0,1,1,0.68480585052418
P442761,1,0,0,1,0,0,0,0.684873546856465
P468211,1,0,0,1,1,0,0,0.685495628415301
P470024,1,0,0,1,1,0,0,0.685983730715288
P470007,1,0,0,0,0,1,0,0.686116233766234
P455924,1,0,1,1,0,1,0,0.686207232704403
P442840,1,0,0,1,1,0,1,0.686779278183293
P467976,1,0,0,1,0,0,1,0.686810875331565
P269122,1,0,0,1,1,0,0,0.687161640140275
P122661,1,0,0,1,0,1,0,0.68723950617284
P474957,1,0,0,1,0,0,0,0.687249295774648
P475200,1,1,1,1,1,1,1,0.687921951219512
P424986,1,0,0,1,1,0,0,0.687974585635359
P379907,0,0,0,1,0,1,0,0.688106530612245
P4010,1,0,0,0,1,1,1,0.688354626108999
P440307,1,0,0,1,1,0,1,0.688464416135881
P461555,1,0,0,0,0,0,0,0.688464416135881
P461950,1,0,0,1,0,1,0,0.688533333333333
P480346,1,0,0,1,0,0,0,0.688571428571429
P456566,1,1,0,1,1,1,0,0.688906532180596
P384537,1,0,0,1,0,1,0,0.688913320079523
P426829,1,0,1,1,0,1,0,0.689015700483092
P416538,1,1,1,1,0,0,0,0.689092857142857
P454100,1,0,0,0,0,1,0,0.689103973509934
P467249,1,1,1,1,0,0,0,0.689319083969466
P457694,1,0,0,1,0,1,0,0.689484259259259
P481081,1,0,1,1,0,0,0,0.6896
P465365,1,0,1,1,0,1,0,0.689602793296089
P433469,1,0,0,0,0,0,0,0.690184615384615
P462384,1,0,0,1,0,1,0,0.6906
P441644,1,0,0,0,0,0,0,0.690715715749915
P411387,1,0,0,1,0,0,0,0.690771367667121
P391799,1,0,0,1,0,1,0,0.690901244813278
P385631,1,0,0,1,0,1,0,0.691091791044776
P442850,1,0,0,1,0,0,0,0.691112396694215
P428819,0,0,0,1,0,1,1,0.691630466321244
P403315,1,0,0,1,0,0,0,0.691661878453039
P481350,1,0,0,1,0,1,0,0.691933333333333
P406941,1,0,0,1,0,0,1,0.692001333333333
P442748,1,0,0,0,0,1,0,0.692046875
P467038,1,0,0,1,1,0,0,0.692306085649887
P472454,1,0,0,1,1,1,0,0.693090672782875
P479362,1,0,0,1,0,0,0,0.693989826839827
P431187,1,0,0,0,0,1,0,0.694182993197279
P248404,1,0,0,1,0,1,0,0.694253563121167
P448557,1,0,0,1,0,1,0,0.694575
P448551,1,0,0,1,0,1,0,0.6947
P467247,1,0,0,0,0,1,0,0.694705152224824
P122762,0,0,0,1,0,0,0,0.694859683313033
P474936,1,1,0,1,0,1,0,0.695038848920863
P480279,1,0,0,0,0,0,0,0.69536
P232915,1,0,0,1,0,1,0,0.695478702774992
P458576,1,0,0,0,0,1,0,0.695645497630332
P474826,1,0,0,0,0,1,0,0.695668531468532
P202935,1,0,0,1,1,1,0,0.695788888888889
P502998,1,0,0,1,0,1,1,0.696285714285714
P455898,0,0,0,0,0,0,0,0.696452912621359
P173652,1,0,0,0,0,1,0,0.696505865921788
P375852,0,0,0,1,1,1,0,0.696550114942529
P432829,1,0,0,0,0,1,0,0.696753063193439
P463371,1,0,0,1,0,1,1,0.696753063193439
P448937,1,0,0,0,0,0,0,0.697066808149406
P504774,1,0,1,1,0,0,0,0.69726
P449599,1,0,0,1,0,1,0,0.697408608858391
P39274,1,0,0,0,0,1,0,0.697408608858391
P460758,1,0,0,0,0,0,1,0.697432110091743
P423164,1,0,0,1,0,1,1,0.697517391304348
P447212,0,0,0,1,0,1,0,0.697933902161547
P454936,0,0,0,1,0,0,0,0.697933902161547
P481367,1,0,0,1,0,0,1,0.698419298245614
P482329,1,0,1,1,1,1,0,0.698728391167192
P420699,1,0,0,0,0,1,0,0.699026574500768
P461160,1,0,0,1,0,0,1,0.699676326699834
P461933,1,0,0,1,1,1,0,0.699676326699834
P461159,1,0,0,1,0,1,0,0.699676326699834
P392248,1,0,0,0,0,1,0,0.700350556792873
P500113,1,0,1,1,0,0,1,0.700408403361345
P482757,1,0,0,0,0,1,0,0.700471219512195
P475182,1,0,0,1,1,0,0,0.700471219512195
P481058,1,0,0,1,0,1,0,0.700541935483871
P447783,1,0,0,1,0,0,0,0.70118
P475932,1,0,1,1,1,1,0,0.701241176470588
P467118,1,0,1,0,0,0,1,0.701454071661238
P411360,1,0,0,1,0,1,0,0.701485526315789
P455242,1,0,0,0,0,0,0,0.701674760383387
P502756,1,0,0,1,0,1,0,0.701729032258065
P471065,1,0,0,1,0,0,0,0.701877987421384
P458573,1,0,0,0,0,1,1,0.702022222222222
P504524,1,0,0,0,1,0,0,0.702495454545455
P505274,0,0,0,0,0,0,1,0.70299375
P504028,1,0,1,1,0,1,1,0.703247791164659
P418629,1,0,0,1,0,0,0,0.703501089918256
P481390,1,0,0,0,1,1,0,0.7036140625
P456218,1,0,1,1,0,1,1,0.70368808716707
P392608,1,0,0,1,1,0,0,0.704175092936803
P415747,0,0,0,1,0,0,0,0.704312324723247
P433962,1,1,0,1,0,0,0,0.704765217391304
P500982,1,0,0,1,0,1,1,0.705289655172414
P440925,1,0,1,1,0,0,0,0.705452068126521
P417867,1,1,0,0,0,1,1,0.705518076923077
P416139,1,0,0,1,1,0,0,0.705650358239509
P467126,1,0,1,1,0,0,0,0.705714735099338
P297524,1,0,0,1,0,1,1,0.70625
P469524,1,0,0,1,0,0,0,0.706332330827068
P453224,1,0,0,1,0,0,0,0.706365113871636
P418346,1,0,0,1,0,1,0,0.706378166666667
P173622,1,0,0,0,0,1,0,0.70682
P503721,0,0,0,1,0,0,0,0.7069325
P479319,1,0,0,1,0,0,1,0.707014130434783
